Date,Open,High,Low,Close,Adj Close,Volume,pctChange,delta,EMA12,EMA26,MACD,MACD Signal,RSI,Stochastic,Stochastic SMA
2/25/15,84.379997,86.830002,84.360001,86.190002,86.190002,13645700,0.017711654,Up,87.14145209,90.62022041,-3.478768322,-3.78097771,34.65450138,10.1250625,10.77626559
2/26/15,86.919998,87.160004,85.199997,85.370003,85.370003,8763300,-0.009513853,Down,86.86892146,90.23131542,-3.362393958,-3.69726096,37.5946382,38.75847966,17.40060304
2/27/15,85.949997,86.559998,85,85.120003,85.120003,8377200,-0.002928429,Down,86.59985708,89.85269968,-3.252842602,-3.608377288,44.40594656,27.49085518,25.45813244
3/2/15,85,85.019997,83.75,84,84,11213400,-0.01315793,Down,86.19987907,89.41916637,-3.219287304,-3.530559291,47.82352396,22.87831416,29.70921633
3/3/15,82.949997,83.25,80.029999,81.580002,81.580002,39246100,-0.0288095,Down,85.48912875,88.83848753,-3.34935878,-3.494319189,38.73387758,4.50450207,18.2912238
3/4/15,80.269997,85.825996,80.169998,85.489998,85.489998,36438900,0.047928364,Up,85.48926248,88.59045127,-3.101188788,-3.415693109,38.18946903,16.72062925,14.70114849
3/5/15,85.75,86.269997,84.010002,86.099998,86.099998,18514800,0.007135338,Up,85.58322179,88.40597325,-2.822751457,-3.297104779,49.25364994,58.89964017,26.70825716
3/6/15,85.739998,86,84.050003,84.400002,84.400002,10673700,-0.019744437,Down,85.40118798,88.10923464,-2.708046661,-3.179293155,47.19320135,65.48000411,47.03342451
3/9/15,84.349998,84.349998,81.480003,82.529999,82.529999,17616500,-0.022156433,Down,84.9594666,87.69595792,-2.736491328,-3.09073279,33.22732185,48.77236035,57.71733488
3/10/15,81.089996,83.150002,80.650002,82.970001,82.970001,13756700,0.005331419,Up,84.65339497,87.34588704,-2.692492075,-3.011084647,38.38205343,31.88773883,48.71336776
3/11/15,83,83.379997,81.190002,81.989998,81.989998,12768700,-0.011811534,Down,84.24364159,86.94915452,-2.705512933,-2.949970304,38.08781537,37.50000638,39.38670185
3/12/15,82.099998,82.900002,81.529999,81.919998,81.919998,11232000,-0.000853763,Neutral,83.88615796,86.57662441,-2.690466449,-2.898069533,36.77385082,26.99722397,32.12832306
3/13/15,81.800003,81.919998,80.769997,81.860001,81.860001,12663300,-0.000732385,Neutral,83.5744415,86.2272449,-2.652803392,-2.849016305,37.14796948,26.50768127,30.33497054
3/16/15,82.010002,85.199997,81.940002,84,84,16905700,0.026142181,Up,83.63991204,86.06226379,-2.422351751,-2.763683394,41.9589485,25.66620921,26.39037148
3/17/15,84.010002,85.099998,83.510002,84.5,84.5,17566500,0.005952381,Up,83.77223327,85.94654055,-2.174307283,-2.645808172,48.79633059,55.68019938,35.95136329
3/18/15,83.870003,85.949997,83.300003,84.589996,84.589996,35558000,0.001065041,Up,83.89804292,85.84605577,-1.94801285,-2.506249107,45.7899108,62.69281719,48.01307526
3/19/15,85.110001,87.040001,85,85.739998,85.739998,30454700,0.013595012,Up,84.18142062,85.83819964,-1.656779014,-2.336355089,48.51148587,69.83151146,62.73484268
3/20/15,86.330002,86.800003,85.089996,85.199997,85.199997,21181500,-0.006298122,Down,84.33812468,85.79092537,-1.452800686,-2.159644208,52.58939651,81.45502669,71.32645178
3/23/15,85.25,85.529999,84.209999,84.25,84.25,10884100,-0.0111502,Down,84.32456704,85.67678275,-1.35221571,-1.998158508,54.82411892,73.75173359,75.01275725
3/24/15,84.349998,84.5,82.389999,83.629997,83.629997,14545100,-0.007359086,Down,84.21771011,85.52516899,-1.307458879,-1.860018583,60.48571873,59.38864947,71.53180325
3/25/15,83.940002,84.480003,82.669998,83.75,83.75,13507200,0.001434928,Up,84.14575471,85.39367499,-1.247920282,-1.737598922,42.66785227,46.63529681,59.92522662
3/26/15,83.199997,84.995003,82.959999,84.169998,84.169998,12208000,0.005014901,Up,84.14948444,85.30303225,-1.153547804,-1.620788699,40.79646866,48.51327833,51.5124082
3/27/15,84.779999,85.150002,83.339996,84.580002,84.580002,9627000,0.004871142,Up,84.21571791,85.24947445,-1.033756538,-1.503382267,49.29450779,55.08601801,50.07819772
3/30/15,85.029999,85.150002,83.75,83.900002,83.900002,10020500,-0.008039726,Down,84.16714624,85.14951353,-0.982367295,-1.399179272,64.94850629,61.50235704,55.03388446
3/31/15,83.639999,84.449997,83.199997,83.239998,83.239998,11812900,-0.007866555,Down,84.02450805,85.00806794,-0.98355989,-1.316055396,56.76995297,49.92030308,55.50289271
4/1/15,83.370003,83.720001,82.18,82.360001,82.360001,14856100,-0.010571805,Down,83.76843004,84.81191483,-1.043484791,-1.261541275,60.16408212,39.39393021,50.27219678
4/2/15,82.879997,83,81.25,82.279999,82.279999,19868200,-0.00097137,Neutral,83.53944065,84.62436551,-1.084924861,-1.226217992,52.80446094,25.35889929,38.22437753
4/6/15,82.050003,82.589996,81.613998,81.82,81.82,12810500,-0.005590654,Down,83.27491132,84.41663473,-1.141723413,-1.209319076,52.95994594,17.78927154,27.51403368
